Food report 20 Apr 2018
Barn,Date of open barn,Age(Day),Move in,Move out,Current pig,Cumulative Food(Kg),FPP,Target FPP
4,01 Mar 2018,120,42,20,22,100,4.55,95
5,01 Apr 2018,89,0,0,0,100,0,36.1
6,01 Apr 2018,89,0,0,0,0,0,36.1
13,20 Apr 2018,70,0,0,0,0,0,0
14,20 Apr 2018,70,0,0,0,0,0,0
15,20 Apr 2018,70,0,0,0,382,0,0
16,20 Apr 2018,70,50,0,50,0,0,0
17,20 Apr 2018,70,0,0,0,0,0,0
18,20 Apr 2018,70,0,0,0,0,0,0
19,20 Apr 2018,70,0,0,0,0,0,0
20,08 Apr 2018,82,0,0,0,0,0,22.8
21,08 Apr 2018,82,70,0,70,0,0,22.8
22,09 Apr 2018,81,0,0,0,0,0,20.9
23,10 Apr 2018,80,0,0,0,0,0,19
26,01 Apr 2018,89,0,0,0,0,0,36.1
27,18 Apr 2018,77,0,0,0,0,0,13.3
28,19 Apr 2018,2,0,0,0,0,0,-129.2
29,19 Apr 2018,124,0,0,0,0,0,102.6
30,19 Apr 2018,12,0,0,0,0,0,-110.2
31,19 Apr 2018,16,0,0,0,0,0,-102.6
32,19 Apr 2018,16,0,0,0,0,0,-102.6
33,19 Apr 2018,124,0,0,0,0,0,102.6
34,19 Apr 2018,12,0,0,0,0,0,-110.2
35,19 Apr 2018,12,0,0,0,0,0,-110.2
36,19 Apr 2018,12,0,0,0,0,0,-110.2
37,19 Apr 2018,2,0,0,0,0,0,-129.2
38,19 Apr 2018,12,0,0,0,0,0,-110.2
39,19 Apr 2018,23,0,0,0,0,0,-89.3
40,19 Apr 2018,12,0,0,0,0,0,-110.2
