FoodAndTransfer report 26 Apr 2018
Barn id,Barn name,Date of open barn,Date of close barn,Age(Day),Current pig,Cumulative Food(Kg),FPP,Target FPP,Move in,Move out,Sold,Die,Sick,Defect,Dwarf
45,3,Invalid date,ACTIVE,,0,0,,,0,0,0,0,0,0,0
36,6,22 Apr 2018,ACTIVE,74,0,0,,7.6,0,0,0,0,0,0,0
35,2,22 Apr 2018,ACTIVE,74,0,0,,7.6,0,0,0,0,0,0,0
34,6,Invalid date,ACTIVE,,0,0,,,0,0,0,0,0,0,0
33,1,19 Apr 2018,ACTIVE,77,0,0,,13.3,0,0,0,0,0,0,0
32,1,19 Apr 2018,ACTIVE,77,0,0,,13.3,0,0,0,0,0,0,0
41,3,24 Apr 2018,ACTIVE,72,0,0,,3.8,0,0,0,0,0,0,0
42,3,24 Apr 2018,ACTIVE,72,0,0,,3.8,0,0,0,0,0,0,0
37,9,18 Apr 2018,ACTIVE,78,0,0,,15.2,0,0,0,0,0,0,0
44,44,23 Apr 2018,ACTIVE,73,0,0,,5.7,0,0,0,0,0,0,0
43,6,25 Apr 2018,ACTIVE,71,0,0,,1.9,0,0,0,0,0,0,0
19,3,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
13,1,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
14,1,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
15,2,20 Apr 2018,Invalid date,76,0,132,,11.4,0,0,0,0,0,0,0
31,3,19 Apr 2018,Invalid date,82,0,0,,22.8,0,0,0,0,0,0,0
30,3,19 Apr 2018,Invalid date,82,0,0,,22.8,0,0,0,0,0,0,0
29,3,19 Apr 2018,Invalid date,82,0,0,,22.8,0,0,0,0,0,0,0
28,3,19 Apr 2018,Invalid date,82,0,0,,22.8,0,0,0,0,0,0,0
27,3,18 Apr 2018,Invalid date,83,0,0,,24.7,0,0,0,0,0,0,0
16,2,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
17,2,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
18,2,20 Apr 2018,Invalid date,76,0,0,,11.4,0,0,0,0,0,0,0
23,4,10 Apr 2018,Invalid date,86,0,0,,30.4,0,0,0,0,0,0,0
22,4,09 Apr 2018,Invalid date,87,0,0,,32.3,0,0,0,0,0,0,0
21,4,08 Apr 2018,Invalid date,88,0,444,,34.2,0,0,0,0,0,0,0
20,5,08 Apr 2018,Invalid date,88,0,0,,34.2,0,0,0,0,0,0,0
24,2,Invalid date,Invalid date,,0,0,,,0,0,0,0,0,0,0
26,5,01 Apr 2018,02 Apr 2018,95,0,0,,47.5,0,0,0,0,0,0,0
25,2,04 Apr 2018,19 Apr 2018,92,0,0,,41.8,0,0,0,0,0,0,0
5,2,01 Apr 2018,23 Apr 2018,95,0,100,,47.5,0,0,0,0,0,0,0
6,3,01 Apr 2018,30 Apr 2018,95,0,0,,47.5,0,0,0,0,0,0,0
4,1,01 Mar 2018,30 Apr 2018,126,300,100,0.33,106.4,300,0,0,0,0,0,0
